country,iso3,gdp
Middle income,MIC,3.11501E+13
North Macedonia,MKD,12672131053
Mali,MLI,17163432832
Malta,MLT,14553422929
Myanmar,MMR,71214803378
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,5504166667
Mongolia,MNG,13066749138
Northern Mariana Islands,MNP,1323000000
Mozambique,MOZ,14717223207
Mauritania,MRT,5234817927
Mauritius,MUS,14220348673
Malawi,MWI,7064971176
Malaysia,MYS,3.58582E+11
North America,NAC,2.22643E+13
Namibia,NAM,14521711634
New Caledonia,NCL,
Niger,NER,9290938457
Nigeria,NGA,3.9727E+11
Nicaragua,NIC,13117845417
Netherlands,NLD,9.13658E+11
Norway,NOR,4.34167E+11
Nepal,NPL,29040398982
Nauru,NRU,125628504.3
New Zealand,NZL,2.04924E+11
OECD members,OED,5.26762E+13
Oman,OMN,79276723017
Other small states,OSS,4.52306E+11
Pakistan,PAK,3.14588E+11
Panama,PAN,65055100000
Peru,PER,2.22045E+11
Philippines,PHL,3.3091E+11
Palau,PLW,283994900
Papua New Guinea,PNG,23497607690
Poland,POL,5.85664E+11
Pre-demographic dividend,PRE,1.32157E+12
Puerto Rico,PRI,1.01131E+11
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,2.40675E+11
Paraguay,PRY,40496953779
West Bank and Gaza,PSE,14615900000
Pacific island small states,PSS,10381220343
Post-demographic dividend,PST,5.00903E+13
French Polynesia,PYF,
Qatar,QAT,1.91362E+11
Romania,ROU,2.39553E+11
Russian Federation,RUS,1.65755E+12
Rwanda,RWA,9508715596
South Asia,SAS,3.45242E+12
Saudi Arabia,SAU,7.86522E+11
Sudan,SDN,40851536134
Senegal,SEN,24129599552
Singapore,SGP,3.64157E+11
Solomon Islands,SLB,1395608472
Sierra Leone,SLE,4085114794
El Salvador,SLV,26057000000
San Marino,SMR,
Somalia,SOM,4720727278
Serbia,SRB,50597289147
Sub-Saharan Africa (excluding high income),SSA,1.70836E+12
South Sudan,SSD,
Sub-Saharan Africa,SSF,1.70995E+12
Small states,SST,5.36147E+11
Sao Tome and Principe,STP,422296762.3
Suriname,SUR,3590753769
Slovak Republic,SVK,1.05905E+11
Slovenia,SVN,54007972106
Sweden,SWE,5.56086E+11
Eswatini,SWZ,4710618472
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1590180446
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1022312010
Chad,TCD,11273115239
East Asia & Pacific (IDA & IBRD countries),TEA,1.62533E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.05733E+12
Togo,TGO,5358722983
Thailand,THA,5.04993E+11
Tajikistan,TJK,7522947810
Turkmenistan,TKM,40761142857
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.55976E+12
Timor-Leste,TLS,2581000000
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,450353313.9
South Asia (IDA & IBRD),TSA,3.45242E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.70995E+12
Trinidad and Tobago,TTO,23808146748
Tunisia,TUN,39871132268
Turkey,TUR,7.7135E+11
Tuvalu,TUV,42587778.47
Tanzania,TZA,58001200572
Uganda,UGA,27461440192
Ukraine,UKR,1.30832E+11
Upper middle income,UMC,2.44461E+13
Uruguay,URY,59596885024
United States,USA,2.05443E+13
Uzbekistan,UZB,50499921558
St. Vincent and the Grenadines,VCT,811300000
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2.45214E+11
Vanuatu,VUT,914301119.3
World,WLD,8.59106E+13
Samoa,WSM,820491798.3
Kosovo,XKX,7938990793
"Yemen, Rep.",YEM,26914402224
South Africa,ZAF,3.68289E+11
Zambia,ZMB,26720073436
Zimbabwe,ZWE,31000519447
